NoUr;Document;Extension;Jenis;SortCategory;Category;SortTopic;Topic;Date;LastUpdated;MIMEType;Size;ID;url
12;PKP Wajib Pajak Persyaratan Tertentu;1;KUP;11;Restitusi;;;18/02/2020 10.06;17/09/2020 11.08;document;0;1LWhrEhP9CjWPdW2b_j3YmgBOu-pNSH_04BbtrxP7TsA;https://docs.google.com/document/d/1LWhrEhP9CjWPdW2b_j3YmgBOu-pNSH_04BbtrxP7TsA/edit?usp=drivesdk
11;PKP Wajib Pajak Kriteria Tertentu;1;KUP;11;Restitusi;;;18/02/2020 10.06;17/09/2020 11.08;document;0;1YKCuJX7np8nYykM1NCHvWdx_1JIcJDWDVai1R0-R8cI;https://docs.google.com/document/d/1YKCuJX7np8nYykM1NCHvWdx_1JIcJDWDVai1R0-R8cI/edit?usp=drivesdk
4;SKPKBT;1;KUP;10;Sanksi, Penetapan dan Ketetapan Pajak;;;18/02/2020 10.01;17/09/2020 11.23;document;0;18eawBJqkpz_59Qe3Rzs-n8KPiKBy8K-j_FXqPRDy5uE;https://docs.google.com/document/d/18eawBJqkpz_59Qe3Rzs-n8KPiKBy8K-j_FXqPRDy5uE/edit?usp=drivesdk
1;Surat Ketetapan Pajak (SKP);1;KUP;10;Sanksi, Penetapan dan Ketetapan Pajak;;;18/02/2020 10.01;17/09/2020 11.23;document;0;183k8eVAywlHensqo4TMdXI7Z5VXJmmfD-o4tTcHZVvM;https://docs.google.com/document/d/183k8eVAywlHensqo4TMdXI7Z5VXJmmfD-o4tTcHZVvM/edit?usp=drivesdk
3;Surat Tagihan Pajak (STP);1;KUP;10;Sanksi, Penetapan dan Ketetapan Pajak;;;18/02/2020 10.01;17/09/2020 11.22;document;0;1rh6wUC8TBdMSZWeOmLDtVtpAbGXhEETwMy6tmILrGLM;https://docs.google.com/document/d/1rh6wUC8TBdMSZWeOmLDtVtpAbGXhEETwMy6tmILrGLM/edit?usp=drivesdk
2;SKPKB;1;KUP;10;Sanksi, Penetapan dan Ketetapan Pajak;;;18/02/2020 10.02;17/09/2020 11.22;document;0;1l6YwinMRd56ru3DJcg2MlKhb1Xfn8Rhop8W8waJnCYw;https://docs.google.com/document/d/1l6YwinMRd56ru3DJcg2MlKhb1Xfn8Rhop8W8waJnCYw/edit?usp=drivesdk
1;Dasar-Hukum-Pemeriksaan;1;KUP;9;Pemeriksaan;;;18/02/2020 14.09;09/09/2020 12.17;document;0;1DI_p8U1TpImtns-a0sArUf1yo9iJJ_Kk8tYayfdXTX8;https://docs.google.com/document/d/1DI_p8U1TpImtns-a0sArUf1yo9iJJ_Kk8tYayfdXTX8/edit?usp=drivesdk
2;Tatacara Pemeriksaan;1;KUP;9;Pemeriksaan;;;18/02/2020 14.09;09/09/2020 12.17;document;0;1baGNb0vPoG5C3xgtazGTgsgvR4peXuJE34Q_lFAWVVY;https://docs.google.com/document/d/1baGNb0vPoG5C3xgtazGTgsgvR4peXuJE34Q_lFAWVVY/edit?usp=drivesdk
3;Kewajiban dan Kewenangan Pemeriksa;1;KUP;9;Pemeriksaan;1;Pemeriksaan Untuk Menguji Kepatuhan Pemenuhan Kewajiban Perpajakan (Sejak 1 Februari 2013);18/02/2020 14.09;17/09/2020 11.00;document;0;1vkMx-vJfP13VQ33cKlA9vgjCrituINS9rusXy8RW_0U;https://docs.google.com/document/d/1vkMx-vJfP13VQ33cKlA9vgjCrituINS9rusXy8RW_0U/edit?usp=drivesdk
4;Hak dan Kewajiban Wajib Pajak;1;KUP;9;Pemeriksaan;1;Pemeriksaan Untuk Menguji Kepatuhan Pemenuhan Kewajiban Perpajakan (Sejak 1 Februari 2013);18/02/2020 14.09;17/09/2020 10.59;document;0;1Atk5QFhf_zlWKnLoQFzm4B1rCRGbZZT-Yt9RntTpNMw;https://docs.google.com/document/d/1Atk5QFhf_zlWKnLoQFzm4B1rCRGbZZT-Yt9RntTpNMw/edit?usp=drivesdk
1;Ruang Lingkup Kriteria dan Jenis Pemeriksaan;1;KUP;9;Pemeriksaan;1;Pemeriksaan Untuk Menguji Kepatuhan Pemenuhan Kewajiban Perpajakan (Sejak 1 Februari 2013);18/02/2020 14.09;17/09/2020 10.59;document;0;15RjeHiswS6-xH4KwltySSqOekw6Ukqbx-6_RID0HTVM;https://docs.google.com/document/d/15RjeHiswS6-xH4KwltySSqOekw6Ukqbx-6_RID0HTVM/edit?usp=drivesdk
2;Standar Pemeriksaan;1;KUP;9;Pemeriksaan;1;Pemeriksaan Untuk Menguji Kepatuhan Pemenuhan Kewajiban Perpajakan (Sejak 1 Februari 2013);18/02/2020 14.09;17/09/2020 10.59;document;0;15b1pvQKWJvPzus7KhN5dgoz8iYxyHoXTo8KKm4UsRyc;https://docs.google.com/document/d/15b1pvQKWJvPzus7KhN5dgoz8iYxyHoXTo8KKm4UsRyc/edit?usp=drivesdk
1;Pembukuan dengan Mata Uang Asing;1;KUP;8;Pembukuan;;;18/02/2020 09.46;09/09/2020 12.13;document;0;1DjAPs4_rv7Kige-HWVb4K-JN_hDotPyoyP_yD7WGFDk;https://docs.google.com/document/d/1DjAPs4_rv7Kige-HWVb4K-JN_hDotPyoyP_yD7WGFDk/edit?usp=drivesdk
5;Ketentuan Terkait Konversi Ke Satuan Mata Uang Dollar Dan Ketentuan Lain Setelah WP Memperoleh Izin Pembukuan Dollar;1;KUP;8;Pembukuan;;;18/02/2020 09.46;09/09/2020 12.13;document;0;1N947dizaGUEp5K9sXJ_dE6GQ9DAjmZhB58Dt_fQjg-w;https://docs.google.com/document/d/1N947dizaGUEp5K9sXJ_dE6GQ9DAjmZhB58Dt_fQjg-w/edit?usp=drivesdk
4;Pencatatan;1;KUP;8;Pembukuan;;;18/02/2020 09.45;09/09/2020 12.13;document;0;1iK5vCFRrmID-LCWGOUWkYpUyTwYM51vJneXI_ZXafv8;https://docs.google.com/document/d/1iK5vCFRrmID-LCWGOUWkYpUyTwYM51vJneXI_ZXafv8/edit?usp=drivesdk
2;Perubahan Metode Pembukuan dan atau Tahun Buku;1;KUP;8;Pembukuan;;;18/02/2020 09.45;09/09/2020 12.13;document;0;1rCoTWm4IcL6dDxAHCjPV2uAmA-fo2nm1QWm2_AynC9w;https://docs.google.com/document/d/1rCoTWm4IcL6dDxAHCjPV2uAmA-fo2nm1QWm2_AynC9w/edit?usp=drivesdk
3;Pembukuan;1;KUP;8;Pembukuan;;;18/02/2020 09.45;09/09/2020 12.13;document;0;1srH4olkIvT1QqXGR_yRxyorf1KFXaFkm-9mQolMqUmQ;https://docs.google.com/document/d/1srH4olkIvT1QqXGR_yRxyorf1KFXaFkm-9mQolMqUmQ/edit?usp=drivesdk
3;Pasal 16 KUP : Pembetulan STP Surat Ketetapan Keputusan Pajak;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;;;18/02/2020 09.26;09/09/2020 12.10;document;0;16_sKccsdiAF8ws7Yzfow3GC7YXelLCZuGZReB7-DJRc;https://docs.google.com/document/d/16_sKccsdiAF8ws7Yzfow3GC7YXelLCZuGZReB7-DJRc/edit?usp=drivesdk
4;Pasal 27 UU KUP : Banding;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;;;18/02/2020 09.26;09/09/2020 12.10;document;0;1jBszMmdPImTGdpOalUcmY3Z2AEGTT9A6Elye5P7NG7M;https://docs.google.com/document/d/1jBszMmdPImTGdpOalUcmY3Z2AEGTT9A6Elye5P7NG7M/edit?usp=drivesdk
2;Gugatan;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;;;18/02/2020 09.26;09/09/2020 12.10;document;0;1lJE-ipbltznaiXYLGu--006cmF9F0FmCdxljUlVQIJw;https://docs.google.com/document/d/1lJE-ipbltznaiXYLGu--006cmF9F0FmCdxljUlVQIJw/edit?usp=drivesdk
5;Peninjauan Kembali;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;;;18/02/2020 09.25;09/09/2020 12.10;document;0;1nIrysXd25X24pvRGSEDOCdi5fn2k5Xm1NZTe2PKpGWs;https://docs.google.com/document/d/1nIrysXd25X24pvRGSEDOCdi5fn2k5Xm1NZTe2PKpGWs/edit?usp=drivesdk
1;penyelesaian-sengketa-kup;png;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;;;22/06/2020 10.55;22/06/2020 10.55;image/png;100021;15VT5FnwB5zGwrRSL5dXMG9qzBz7XoKDL;https://drive.google.com/file/d/15VT5FnwB5zGwrRSL5dXMG9qzBz7XoKDL/view?usp=drivesdk
2;Ketentuan terkait Pasal 36 UU KUP Sejak 1 Maret 2013;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.24;17/09/2020 10.57;document;0;1y0MMaUhvpaPotmRk2caCBFXmRUaSygVJBBP48sPk1A8;https://docs.google.com/document/d/1y0MMaUhvpaPotmRk2caCBFXmRUaSygVJBBP48sPk1A8/edit?usp=drivesdk
8;Pengurangan Atau Penghapusan Sanksi Administrasi Atas SPT;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.24;09/09/2020 12.10;document;0;153S4JNj3jdsKETj_EBQvE30ypmcAiFoc59zMPzbeQwU;https://docs.google.com/document/d/153S4JNj3jdsKETj_EBQvE30ypmcAiFoc59zMPzbeQwU/edit?usp=drivesdk
6;permohonan pembatalan SKP hasil pemeriksaan atau verifikasi;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.25;09/09/2020 12.10;document;0;1JNyQ0HxOYLx7tKOQHYKDEbti5ZeMmocYoINdDe6mDGg;https://docs.google.com/document/d/1JNyQ0HxOYLx7tKOQHYKDEbti5ZeMmocYoINdDe6mDGg/edit?usp=drivesdk
9;Pengurangan Sanksi Administrasi dalam SKP SKP PBB dan atau STP yang diterbitkan pada tahun 2015;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.25;09/09/2020 12.10;document;0;1M8H63fNe3fJ0oEfckeMzMIQQuRgvh6bw2-bU99_SVaU;https://docs.google.com/document/d/1M8H63fNe3fJ0oEfckeMzMIQQuRgvh6bw2-bU99_SVaU/edit?usp=drivesdk
5;Pengurangan atau Pembatalan STP yang Tidak Benar;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.25;09/09/2020 12.10;document;0;1NFdbUBbn9PTQJ4A-zkkwmI6t1nrfY8VjiDlWwfPPX2g;https://docs.google.com/document/d/1NFdbUBbn9PTQJ4A-zkkwmI6t1nrfY8VjiDlWwfPPX2g/edit?usp=drivesdk
4;Pengurangan atau Pembatalan SKP yang Tidak Benar;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.26;09/09/2020 12.10;document;0;1f3TR1q3Kw3T-5Ly4IV-t3y8crxnsWKz5TYHvy25VAns;https://docs.google.com/document/d/1f3TR1q3Kw3T-5Ly4IV-t3y8crxnsWKz5TYHvy25VAns/edit?usp=drivesdk
3;Pengurangan Atau Penghapusan Sanksi Administrasi Pada SKP dan STP;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.25;09/09/2020 12.10;document;0;1fcW4TDIUB8UJsXV0LnZtRsGVg82aPRs4sy4ouxsbI9I;https://docs.google.com/document/d/1fcW4TDIUB8UJsXV0LnZtRsGVg82aPRs4sy4ouxsbI9I/edit?usp=drivesdk
7;Penghapusan Sanksi Administrasi Bunga Pasal 19 ayat (1) UU KUP;1;KUP;7;Banding, Gugatan, dan Peninjauan Kembali;1;Pasal 36 UU KUP;18/02/2020 09.26;09/09/2020 12.10;document;0;1kLsvc_-Z_IJrXatfDAA0yfOnd-LfzSmlx9cvzeCmT8s;https://docs.google.com/document/d/1kLsvc_-Z_IJrXatfDAA0yfOnd-LfzSmlx9cvzeCmT8s/edit?usp=drivesdk
1;Keberatan;1;KUP;6;Keberatan;;;18/02/2020 09.15;09/09/2020 11.59;document;0;1yseivm1_-YTfDMh-THdOD610VuKhvYJRchfiyG4pd7U;https://docs.google.com/document/d/1yseivm1_-YTfDMh-THdOD610VuKhvYJRchfiyG4pd7U/edit?usp=drivesdk
2;Ketentuan terkait Penagihan pajak;1;KUP;5;Penagihan Pajak;;;18/02/2020 08.56;09/09/2020 11.56;document;0;1FnPx2eqIvGodnTE8TCyrjyI71AsBuAI8mNDQJxvS-tU;https://docs.google.com/document/d/1FnPx2eqIvGodnTE8TCyrjyI71AsBuAI8mNDQJxvS-tU/edit?usp=drivesdk
1;Jadwal Waktu Penagihan Pajak;1;KUP;5;Penagihan Pajak;;;18/02/2020 08.56;09/09/2020 11.56;document;0;1khY4ADQBdaSdex9xqCqAfdoZ3xu5Gqr-rtEtJO0FJa8;https://docs.google.com/document/d/1khY4ADQBdaSdex9xqCqAfdoZ3xu5Gqr-rtEtJO0FJa8/edit?usp=drivesdk
2;Permohonan Pemindahbukuan (Pbk);1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1A9Ya-nKNKix2HkFZUgkmlWEGudjCqQqxm8mSnUjQx_s;https://docs.google.com/document/d/1A9Ya-nKNKix2HkFZUgkmlWEGudjCqQqxm8mSnUjQx_s/edit?usp=drivesdk
1;Pembayaran atau Penyetoran pajak;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1Dv7Xba9yaEmSSH4qrbIeLmPX6aoSUZXB4wHEmA7Ky1E;https://docs.google.com/document/d/1Dv7Xba9yaEmSSH4qrbIeLmPX6aoSUZXB4wHEmA7Ky1E/edit?usp=drivesdk
8;Tabel Kode MAP dan KJS Lengkap;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;spreadsheet;0;1E3QhBXyC63mq_O7cBUbPlGkVktz549xUNf1AExWlOw0;https://docs.google.com/spreadsheets/d/1E3QhBXyC63mq_O7cBUbPlGkVktz549xUNf1AExWlOw0/edit?usp=drivesdk
4;kode MAP SSBP untuk biaya pelaksanaan SP SPMP Pengumuman Lelang dan Pembatalan lelang;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.38;09/09/2020 11.50;document;0;1HO3FL6CktS7_DlrKa91pc0fOTQXgAo1B2yZzGAijLq8;https://docs.google.com/document/d/1HO3FL6CktS7_DlrKa91pc0fOTQXgAo1B2yZzGAijLq8/edit?usp=drivesdk
6;Jangka Waktu Pembayaran Pajak dan Jangka Waktu Pelunasan STP SKPKB SKPKBT dll;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1J1MwEnAFFfbDjtVmslefAiv03kCzhAFCh6DK617mi7M;https://docs.google.com/document/d/1J1MwEnAFFfbDjtVmslefAiv03kCzhAFCh6DK617mi7M/edit?usp=drivesdk
10;penundaan pembayaran PPh pasal 29 tahun 2013 bagi WP industri tertentu;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.38;09/09/2020 11.50;document;0;1MTt8FDZHwks1ZkTkbsTaXvjQ541BHawVfiol5gvqXHI;https://docs.google.com/document/d/1MTt8FDZHwks1ZkTkbsTaXvjQ541BHawVfiol5gvqXHI/edit?usp=drivesdk
3;Tata Cara Angsuran Dan Penundaan Pembayaran Pajak;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1X0vTYINR6cgUL8WWB1dZS_tTvJ-e2tHHEUpsbklMFwk;https://docs.google.com/document/d/1X0vTYINR6cgUL8WWB1dZS_tTvJ-e2tHHEUpsbklMFwk/edit?usp=drivesdk
9;Tabel Kode MAP dan KJS Lengkap;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.38;09/09/2020 11.50;document;0;1bJA4ygXU68x5trxogMMMBTK0JpT62R63hsntZTGKEgQ;https://docs.google.com/document/d/1bJA4ygXU68x5trxogMMMBTK0JpT62R63hsntZTGKEgQ/edit?usp=drivesdk
12;Sistem Pembayaran Pajak secara Elektronik (Billing System) (Ketentuan sejak 4 April 2017);1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1cqwsJvFm6Zgvpk4V1lMzvL2SGwaMrHuReV1L98ok_vU;https://docs.google.com/document/d/1cqwsJvFm6Zgvpk4V1lMzvL2SGwaMrHuReV1L98ok_vU/edit?usp=drivesdk
5;Biaya Penagihan Pajak;1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.38;09/09/2020 11.50;document;0;1gCspx8SxW27L-FBzrcrcU40RKxVbdnFZeTOWnJjzSvU;https://docs.google.com/document/d/1gCspx8SxW27L-FBzrcrcU40RKxVbdnFZeTOWnJjzSvU/edit?usp=drivesdk
7;Tabel Kode Ketetapan per Jenis Pajak (Kode SKP STP);1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1m-H9nscBK34SJ2H6Nj2Xzy4zYq8NtlnEuNnrd38a6WQ;https://docs.google.com/document/d/1m-H9nscBK34SJ2H6Nj2Xzy4zYq8NtlnEuNnrd38a6WQ/edit?usp=drivesdk
11;Sistem Pembayaran Pajak secara Elektronik (Billing System) (Ketentuan sejak 13 Oktober 2014);1;KUP;4;Pembayaran atau Penyetoran;;;17/02/2020 16.37;09/09/2020 11.50;document;0;1sSmzwV5KOxAZvQbWi-N0ujtixCRbH_Zh63I1wneIGzc;https://docs.google.com/document/d/1sSmzwV5KOxAZvQbWi-N0ujtixCRbH_Zh63I1wneIGzc/edit?usp=drivesdk
2;SPT Tahunan PPh Migas;1;KUP;3;SPT;3;SPT Tahunan PPh Badan;17/02/2020 16.22;09/09/2020 11.37;document;0;1HjjVnKY3oa_b-Mscj9U9e8F-wwrN99QNEr29WGO8U90;https://docs.google.com/document/d/1HjjVnKY3oa_b-Mscj9U9e8F-wwrN99QNEr29WGO8U90/edit?usp=drivesdk
1;SPT Tahunan PPh Badan;1;KUP;3;SPT;3;SPT Tahunan PPh Badan;17/02/2020 16.22;09/09/2020 11.37;document;0;1R8g0hBNcXCOH8h5Gbd5BU7ALHEGh-qt2qB-YNZm8xfE;https://docs.google.com/document/d/1R8g0hBNcXCOH8h5Gbd5BU7ALHEGh-qt2qB-YNZm8xfE/edit?usp=drivesdk
6;SPT 1111 DM sejak Masa Juni 2013;1;KUP;3;SPT;6;SPT Masa PPN;17/02/2020 16.23;09/09/2020 11.40;document;0;1UG0i4tT_U1W2QO9gVLNDaQQeG3SmbUJV1sabL6tkRMw;https://docs.google.com/document/d/1UG0i4tT_U1W2QO9gVLNDaQQeG3SmbUJV1sabL6tkRMw/edit?usp=drivesdk
5;SPT 1111 Sejak Masa Juni 2013;1;KUP;3;SPT;6;SPT Masa PPN;17/02/2020 16.22;09/09/2020 11.40;document;0;1k03x39ZkyMZsDIQLnp6y-3g9ZVOwKBVfC6HUSrBJjB0;https://docs.google.com/document/d/1k03x39ZkyMZsDIQLnp6y-3g9ZVOwKBVfC6HUSrBJjB0/edit?usp=drivesdk
1;SPT Masa PPN sejak Masa Juli 2015;1;KUP;3;SPT;6;SPT Masa PPN;17/02/2020 16.24;09/09/2020 11.40;document;0;1mb9gL1mszF7d3XhYoqUV4MrJ7E8xTKM0cXzFLoVxhpg;https://docs.google.com/document/d/1mb9gL1mszF7d3XhYoqUV4MrJ7E8xTKM0cXzFLoVxhpg/edit?usp=drivesdk
3;Kewajiban E-SPT bagi WP di KPP Madya dan KPP di Wilayah Kanwil Jakarta Khusus dan Kanwil WP Besar;1;KUP;3;SPT;6;SPT Masa PPN;17/02/2020 16.23;09/09/2020 11.40;document;0;1pck7jzGl9CGoElCoZUjy2r4Ii0N3EHQB9UFVhxEI1eA;https://docs.google.com/document/d/1pck7jzGl9CGoElCoZUjy2r4Ii0N3EHQB9UFVhxEI1eA/edit?usp=drivesdk
