NoUr;Document;Extension;Jenis;SortCategory;Category;SortTopic;Topic;Date;LastUpdated;MIMEType;Size;ID;url
10;Pengungkapan ketidakbenaran Pengisian SPT & Pengungkapan Ketidakbenaran Perbuatan WP;1;KUP;3;SPT;1;Ketentuan Terkait SPT;17/02/2020 16.24;09/09/2020 11.30;document;0;1qlSPyz9HfyvyCpTP1oXhsmn5fwPxq99NjDruZ3Pas2E;https://docs.google.com/document/d/1qlSPyz9HfyvyCpTP1oXhsmn5fwPxq99NjDruZ3Pas2E/edit?usp=drivesdk
11;Penyedia Layanan SPT Elektronik - sebelum 20 Juni 2019;1;KUP;3;SPT;1;Ketentuan Terkait SPT;17/02/2020 16.24;09/09/2020 11.30;document;0;1rAjtjyPvIcVeT6AuCOKF2nWcseGGTjlYWzRPGr76n4w;https://docs.google.com/document/d/1rAjtjyPvIcVeT6AuCOKF2nWcseGGTjlYWzRPGr76n4w/edit?usp=drivesdk
13;Laporan Per Negara (Country by Country Report);1;KUP;3;SPT;1;Ketentuan Terkait SPT;17/02/2020 16.22;09/09/2020 11.30;document;0;1xNl3jHdoY7v4cVzkDuPwGsIK9qkrlwEAByIdeLuXih4;https://docs.google.com/document/d/1xNl3jHdoY7v4cVzkDuPwGsIK9qkrlwEAByIdeLuXih4/edit?usp=drivesdk
1;Ketentuan Umum terkait NPWP;1;KUP;2;NPWP dan PKP;;;17/02/2020 15.17;26/04/2020 11.40;document;0;1lYz1ALKWWlDRWx0PV1lN-64t5e8Zi3_9N8QIGNwb9DE;https://docs.google.com/document/d/1lYz1ALKWWlDRWx0PV1lN-64t5e8Zi3_9N8QIGNwb9DE/edit?usp=drivesdk
0;Dasar Hukum Ketentuan Sejak 13 Maret 2020;1;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;29/07/2020 11.28;21/09/2020 11.32;document;0;1tRIlybQXoXC-Liam34PoQcqx5S1tg9DUXz1Jsb9TEJ8;https://docs.google.com/document/d/1tRIlybQXoXC-Liam34PoQcqx5S1tg9DUXz1Jsb9TEJ8/edit?usp=drivesdk
2;Penghapusan NPWP;1;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;24/06/2020 16.42;21/09/2020 11.31;document;0;1fPaRW1Ucio5INPxu9is2gjj3A66ua5bAdVQuNOHyG30;https://docs.google.com/document/d/1fPaRW1Ucio5INPxu9is2gjj3A66ua5bAdVQuNOHyG30/edit?usp=drivesdk
3;Pemindahan Wajib Pajak Terdaftar;1;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;24/06/2020 16.43;21/09/2020 11.30;document;0;11BMbFKyy3-R-iBMlGFXHGmd07u_nY2VKZqrmfA8OVdA;https://docs.google.com/document/d/11BMbFKyy3-R-iBMlGFXHGmd07u_nY2VKZqrmfA8OVdA/edit?usp=drivesdk
4;Pengukuhan Pengusaha Kena Pajak;1;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;24/06/2020 16.42;21/09/2020 11.30;document;0;1ZJY1maPosHKNfczOR-FgWJjfIoRacyrWyDkLs50pGCw;https://docs.google.com/document/d/1ZJY1maPosHKNfczOR-FgWJjfIoRacyrWyDkLs50pGCw/edit?usp=drivesdk
5;Pencabutan Pengukuhan PKP;1;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;24/06/2020 16.43;21/09/2020 11.30;document;0;1jmw-FmdfFNpnOtFKBaf0IWZCeM_9VLVrYbe_at90Oco;https://docs.google.com/document/d/1jmw-FmdfFNpnOtFKBaf0IWZCeM_9VLVrYbe_at90Oco/edit?usp=drivesdk
6;Sertifikat Elektronik;1;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;29/07/2020 09.06;09/09/2020 11.18;document;0;1Am8FAzDMUp3aFtqKOjC3a6EaoabAjNzstQez_NJyr7Q;https://docs.google.com/document/d/1Am8FAzDMUp3aFtqKOjC3a6EaoabAjNzstQez_NJyr7Q/edit?usp=drivesdk
1;Pendaftaran Nomor Pokok Wajib Pajak;2;KUP;2;NPWP dan PKP;5;Ketentuan Sejak 13 Maret 2020;12/06/2020 10.14;09/09/2020 11.17;document;0;16gH70mC_4UtpSAI5pwFoUmavR6fGltsqbCHOpE9gUeU;https://docs.google.com/document/d/16gH70mC_4UtpSAI5pwFoUmavR6fGltsqbCHOpE9gUeU/edit?usp=drivesdk
5;Pencabutan Pengukuhan PKP;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;26/04/2020 11.52;document;0;1nRNdJvWzduMPVOcqIJPygz7GP_kPijJUY1vyaq06gzE;https://docs.google.com/document/d/1nRNdJvWzduMPVOcqIJPygz7GP_kPijJUY1vyaq06gzE/edit?usp=drivesdk
4;Pengukuhan PKP;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;26/04/2020 11.51;document;0;1IgCXrKSulAQ9L6H7zHE3r-f38qhFKKvatghj3YCgf9w;https://docs.google.com/document/d/1IgCXrKSulAQ9L6H7zHE3r-f38qhFKKvatghj3YCgf9w/edit?usp=drivesdk
3;Penghapusan NPWP;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;26/04/2020 11.51;document;0;1Tl9C3-lHYGQTQhry958j0-dtrrdvU_jjN-mO9fPrjoo;https://docs.google.com/document/d/1Tl9C3-lHYGQTQhry958j0-dtrrdvU_jjN-mO9fPrjoo/edit?usp=drivesdk
2;Pendaftaran NPWP;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;26/04/2020 11.49;document;0;1WbL9xezKJnPnesxJ0IetKsZY3KA7UVKkcA3Se3rPzOc;https://docs.google.com/document/d/1WbL9xezKJnPnesxJ0IetKsZY3KA7UVKkcA3Se3rPzOc/edit?usp=drivesdk
1;NPWP bagi Wanita Kawin;2;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;03/04/2020 16.23;document;0;1xC4tJl0gv9zkh1CGRbEzNqYKywAWKF37njMWT-Y2YMg;https://docs.google.com/document/d/1xC4tJl0gv9zkh1CGRbEzNqYKywAWKF37njMWT-Y2YMg/edit?usp=drivesdk
6;Perubahan Data WP dan atau PKP;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;02/04/2020 21.59;document;0;1sR8wReapDpIkr3iRxY41mLKNb96_1o_naK2nK3j2H7A;https://docs.google.com/document/d/1sR8wReapDpIkr3iRxY41mLKNb96_1o_naK2nK3j2H7A/edit?usp=drivesdk
9;Pencabutan Pengukuhan PKP secara Jabatan atas Pengusaha Kecil 2014;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;04/03/2020 10.04;document;0;1gnDZyAlA_yOwA76UPgY-KWi8CQ0RClTfNHQttdySvyw;https://docs.google.com/document/d/1gnDZyAlA_yOwA76UPgY-KWi8CQ0RClTfNHQttdySvyw/edit?usp=drivesdk
8;Penetapan WP Sebagai WP Non Efektif;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;04/03/2020 10.04;document;0;1a952cIYvZ8ED0vh7bCj4kLS9cgLnV__Yp9YT4gWCzbg;https://docs.google.com/document/d/1a952cIYvZ8ED0vh7bCj4kLS9cgLnV__Yp9YT4gWCzbg/edit?usp=drivesdk
7;Pemindahan WP;1;KUP;2;NPWP dan PKP;1;Ketentuan setelah 30 Mei 2013;17/02/2020 15.19;04/03/2020 10.03;document;0;1k1XMr409M1bGalTVu_IuZi9IDeiryWU8HLvW7H450XE;https://docs.google.com/document/d/1k1XMr409M1bGalTVu_IuZi9IDeiryWU8HLvW7H450XE/edit?usp=drivesdk
3;Pencabutan PKP;1;KUP;2;NPWP dan PKP;3;Ketentuan Sejak 30 September 2015;17/02/2020 15.21;04/03/2020 10.05;document;0;1CwN6GqElUyvFNHDBlwKTGroT243gKq1vBtfTpeSvLTQ;https://docs.google.com/document/d/1CwN6GqElUyvFNHDBlwKTGroT243gKq1vBtfTpeSvLTQ/edit?usp=drivesdk
2;Penghapusan NPWP;1;KUP;2;NPWP dan PKP;3;Ketentuan Sejak 30 September 2015;17/02/2020 15.21;04/03/2020 10.04;document;0;1Onc91UFrLgcQ00eKmiff13fKm40K1cQ8WU47g5TUwxM;https://docs.google.com/document/d/1Onc91UFrLgcQ00eKmiff13fKm40K1cQ8WU47g5TUwxM/edit?usp=drivesdk
1;Pendaftaran NPWP dan Pengukuhan PKP;1;KUP;2;NPWP dan PKP;3;Ketentuan Sejak 30 September 2015;17/02/2020 15.21;04/03/2020 10.04;document;0;1aEBfznoN7hsqspHMLahacIvFewZF71rvBFLjHEQ0TIs;https://docs.google.com/document/d/1aEBfznoN7hsqspHMLahacIvFewZF71rvBFLjHEQ0TIs/edit?usp=drivesdk
2;Penghapusan NPWP;1;KUP;2;NPWP dan PKP;4;Ketentuan Sejak 1 November 2017;17/02/2020 15.23;04/03/2020 10.04;document;0;1ZQnT37x5UK0a2uPKSmgE2nJWHaMFrw5KX0HyezIM8jo;https://docs.google.com/document/d/1ZQnT37x5UK0a2uPKSmgE2nJWHaMFrw5KX0HyezIM8jo/edit?usp=drivesdk
1;Pendaftaran NPWP dan Pengukuhan PKP;1;KUP;2;NPWP dan PKP;4;Ketentuan Sejak 1 November 2017;17/02/2020 15.23;04/03/2020 10.04;document;0;145gN51Z4irLGiDjXgwMNr92CclxWZ9Ud4hMofMkhOwM;https://docs.google.com/document/d/145gN51Z4irLGiDjXgwMNr92CclxWZ9Ud4hMofMkhOwM/edit?usp=drivesdk
7;Penentuan SPDN dan SPLN;2;KUP;1;Umum;;;16/02/2020 16.55;26/04/2020 11.39;document;0;103A_2ERA3flUOFYqn7ixMtoZgYpIfRvaAscJa3-CqGs;https://docs.google.com/document/d/103A_2ERA3flUOFYqn7ixMtoZgYpIfRvaAscJa3-CqGs/edit?usp=drivesdk
1;Saat Dimulainya Kewajiban Perpajakan;2;KUP;1;Umum;;;16/02/2020 16.53;19/04/2020 11.08;document;0;11FCfLQlQEKa5gdF3Hhw2abXG5zW9QhAm2f1PMLKKoiM;https://docs.google.com/document/d/11FCfLQlQEKa5gdF3Hhw2abXG5zW9QhAm2f1PMLKKoiM/edit?usp=drivesdk
13;SKUP-05 Hak & Kewajiban WP OP;pptx;KUP;1;Umum;;;17/02/2020 09.39;19/04/2020 11.00;application/vnd.openxmlformats-officedocument.presentationml.presentation;17788954;183iaciKnsjoCpJflWi1Tj8PTtTCQZg4T;https://drive.google.com/file/d/183iaciKnsjoCpJflWi1Tj8PTtTCQZg4T/view?usp=drivesdk
12;Wakil Wajib Pajak;png;KUP;1;Umum;;;16/02/2020 16.57;19/04/2020 10.59;image/png;467673;1XKyxltayqXa7Qw9mdXXbM-FaUSRM7vvU;https://drive.google.com/file/d/1XKyxltayqXa7Qw9mdXXbM-FaUSRM7vvU/view?usp=drivesdk
2;KLU;1;KUP;1;Umum;;;16/02/2020 16.54;19/04/2020 10.56;document;0;1EVw-TjsEq6GkCPNAeeymWGc2HH-yWG7An99qBagERUU;https://docs.google.com/document/d/1EVw-TjsEq6GkCPNAeeymWGc2HH-yWG7An99qBagERUU/edit?usp=drivesdk
3;DJPOnline;1;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.55;document;0;1xncNXfuHFVDzP9zsu3WLCpECmAss95vC-Hf7wZRPs-c;https://docs.google.com/document/d/1xncNXfuHFVDzP9zsu3WLCpECmAss95vC-Hf7wZRPs-c/edit?usp=drivesdk
4;Surat Keterangan Fiskal;1;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.54;document;0;1SLzz2P6KAWveORmXSgU-mfqtVZvW-3czrSK_XFNkOhg;https://docs.google.com/document/d/1SLzz2P6KAWveORmXSgU-mfqtVZvW-3czrSK_XFNkOhg/edit?usp=drivesdk
5;Permintaan Penjelasan atas Data dan atau Keterangan dan Kunjungan (Visit) kepada Wajib Pajak;1;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.53;document;0;1v7TEDP-YeUNyDk31YeU1aPPM6U5bgHAgmZFhhsNvDWs;https://docs.google.com/document/d/1v7TEDP-YeUNyDk31YeU1aPPM6U5bgHAgmZFhhsNvDWs/edit?usp=drivesdk
6;Surat Kuasa Khusus;1;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.52;document;0;1Af3L0l_qrMi2-gY_RJMrsdY7KaCs8Y6gzcAQlbaoHQ4;https://docs.google.com/document/d/1Af3L0l_qrMi2-gY_RJMrsdY7KaCs8Y6gzcAQlbaoHQ4/edit?usp=drivesdk
10;Konfirmasi Status Wajib Pajak;2;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.51;document;0;1RXOZuvhpwXjlwxV_R2y-rjN8WAmzvCo-LrKspYWaJD0;https://docs.google.com/document/d/1RXOZuvhpwXjlwxV_R2y-rjN8WAmzvCo-LrKspYWaJD0/edit?usp=drivesdk
8;Jenis Pelayanan Kepada WP yang Diberikan oleh KPP dan Kanwil DJP;1;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.51;document;0;1EWRslnyV3flDq7B-mMKHql-U811ZIhsJs0KNNSl-Pb8;https://docs.google.com/document/d/1EWRslnyV3flDq7B-mMKHql-U811ZIhsJs0KNNSl-Pb8/edit?usp=drivesdk
11;Dokumen yang Wajib Disimpan oleh Wajib Pajak yang Melakukan Transaksi dengan Pihak Afiliasi;1;KUP;1;Umum;;;16/02/2020 16.55;19/04/2020 10.49;document;0;1HCmfCsithBVCnn_JY50xreldyLFpxiDmodvW-igrNzc;https://docs.google.com/document/d/1HCmfCsithBVCnn_JY50xreldyLFpxiDmodvW-igrNzc/edit?usp=drivesdk
